,0
0,0.004938766346286057
1,0.01801918833217167
2,0.024691831246404772
3,0.01452375198352709
4,0.005268205333795146
5,0.00297583537200844
6,0.0008548417511247667
7,0.0007303342268963525
8,0.0004392404572511106
9,0.0003813925416092425
10,9.082514107253211e-05
11,8.669154610660936e-05
12,6.356468876129853e-05
13,5.07186933728715e-05
14,0.00013378776704310689
15,0.0016683770325251308
16,0.00415336540629365
17,0.020682819339849598
18,0.19707697215341002
19,0.6723447648026141
20,0.10935038227708671
21,0.003853928221292809
22,0.0004867676196793846
23,0.0002868247881605979
24,0.0003535535246493108
25,0.0003643538531743732
26,0.00019372073139129912
27,0.0005913079564701586
28,0.0008401007469282679
29,0.0012653325819767462
30,0.002193297447527377
31,0.0032895925396170785
32,0.02819989386067994
33,0.012622697355370919
34,0.0007917160017363849
35,0.000794717551248824
36,0.0008057729054501015
37,0.000444511259030123
38,0.00012358161361572076
39,5.408001074531133e-05
40,9.248544588395504e-05
41,0.0008439062050660931
42,0.005457943765543756
43,0.08241526987136726
44,0.7258309561068393
45,0.18444136675106731
46,0.0034080146004513406
47,0.00035712160806730404
48,0.00021526089664991195
49,0.0007911340644389022
50,0.0004114736117463633
51,0.00014352552739272593
52,0.00037455224434338304
53,0.00027844166541168245
54,0.00027749796700180245
55,0.0008249474865791042
56,0.01884506338782963
57,0.10611414431463893
58,0.7886217532738053
59,0.08397117903842995
60,0.004588974285791541
61,0.0007025460568387157
62,0.0002518128592811184
63,0.00013358243491228634
64,2.941956737046708e-05
65,0.0003226674083246449
66,0.0034389644852044566
67,0.008921283249898567
68,0.005852086803041531
69,0.005891874316206922
70,0.004757089866281174
71,0.002826449098459644
72,0.0033218537297609305
73,0.20410454210206638
74,0.5036104728391239
75,0.11861742646598707
76,0.14656627940999067
77,0.020456122285619424
78,0.011606155860260302
79,0.003003752608355791
80,0.0005286600051949055
81,0.0017712487195502373
82,0.0015500364523021305
83,0.001315562880052789
84,0.001258281463163936
85,0.0009307479867340544
86,0.0007483118537131223
87,0.0004494638031375064
88,0.000539603506962125
89,0.0005023321594502919
90,0.00012729199430916926
91,0.0004095677175216458
92,0.0005236910056737981
93,0.0007021736151193924
94,0.00042849730190585883
95,0.0005381951201141531
96,0.00032535355732026813
97,0.00021013959231760444
98,0.0006062411463028094
99,0.0008267483059240564
100,0.0007462489637173488
101,0.0005270192836248108
102,0.0005169137958283814
103,0.0005012788352301012
104,0.00037558948339086934
105,0.0003008216822270775
106,0.00039184868342066054
107,0.0010010659123567626
108,0.000909458792772242
109,0.000927819688580627
110,7.682203514554278e-05
111,0.0002907156233382247
112,0.0009776876725150457
113,0.0010767863147343423
114,0.00016410875185530403
115,0.00037458434291963146
116,5.392943117100593e-05
117,0.007769141690349098
118,0.0058540282442245605
119,0.003928043669741122
120,0.0025577656966773755
121,0.0018625441769632358
122,0.0016098045265299887
123,0.0013908580073072132
124,0.0011365488863605627
125,0.0009071420075628839
126,0.0006542270394367195
127,0.0006482672221892934
128,0.00045336717626726574
129,0.00046451454778293914
130,0.00012211971880313912
131,0.00027212444569525864
132,0.0012505530229764208
133,0.0010550916924481975
134,0.0008625465770352855
135,0.0006192126530741276
136,0.0004539005329276272
137,0.000196561306554982
138,0.00040066085096964805
139,0.00042570286803441667
140,0.00032969043957469316
141,0.00041606969063864765
142,0.00032198706645718923
143,0.0004890560659180878
144,0.0006105992670843176
145,0.0009069328948641925
146,0.001432966866048955
147,0.0011422035365506085
148,0.004658717004708364
149,0.06165746313876312
150,0.898726092281557
151,0.037441159449849014
152,0.006645730185062274
153,0.004678695405469172
154,0.0021265008808406907
155,0.0014418864870415326
156,0.0004960577034129086
157,0.00048988737206951
158,0.00034157685996664717
159,0.0003395692826758564
160,8.586083308419765e-05
161,8.957768280639537e-05
162,6.972749594458276e-05
163,5.731943858451238e-05
164,0.00015191722938618765
165,0.00193734633068375
166,0.005094049167913488
167,0.02581801564553289
168,0.23315320253866076
169,0.6567752182811244
170,0.08557175737674345
171,0.0027689780354493623
172,0.0004249683457706944
173,0.00029018471344562135
174,0.0003603958202307386
175,0.0003688131420759897
176,0.0002022466644998887
177,0.0006037713972821294
178,0.0008448213964292914
179,0.001265752219587138
180,0.0021970516255108413
181,0.00334129247054743
182,0.028315029582805035
183,0.012721064868654987
184,0.000811364614863859
185,0.0008084610841273544
186,0.0008112346003680367
187,0.00044500888630117204
188,0.00012385982236014234
189,5.4296107552262963e-05
190,9.26368229538553e-05
191,0.0008403583039665603
192,0.005405769035064729
